Serial Number,Name,Paid for the Course,Age,City,Education,Domain,Channel Name
47,Kristen Hayes,0,41,Hubli–Dharwad,BBA,Other,Channel 5
48,Justin Frazier,0,34,Indore,BBM/MCA/MBA/Management & Others,IT/Software/Programming/Testing/Devops/Product Management,Channel 2
49,Linda Wright,0,41,Mumbai,Engineering,Other,Channel 4
50,Kathryn Wagner,0,28,Gurgaon,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 1
51,Jennifer Leblanc,0,26,Kannur,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 1
52,Mark Shaw,0,18,Bhiwandi,Engineering,Other,Channel 1
53,Timothy Mendoza,0,19,Nashik,Engineering,Sales/Business Development/Legal,Channel 1
54,Janet Ortiz,0,22,Amritsar,B.SC,Digital Marketing/UI UX/Designers/PR/Content Creation,Channel 1
55,Belinda Taylor,1,25,Kolkata,Engineering,Other,Channel 3
56,Christopher Jordan,0,21,Malappuram,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 1
57,Sharon Smith,0,44,Hyderabad,Engineering,Social Media Influencers,Channel 5
58,Juan Ross,0,36,Raipur,B.Com,Data Science/Data Analysis/Business Intelligence,Channel 2
59,Curtis Gomez,0,24,Malappuram,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 1
60,Kristen Quinn,0,35,Gurgaon,B.Com,Data Science/Data Analysis/Business Intelligence,Channel 2
61,Barry Smith,0,35,Varanasi,B.SC,BFSI/Tax/Audit/Insurance/Accounts/CA/Company Secretary,Channel 2
62,Jeremy Wolfe,0,25,Agra,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 1
63,Linda Cortez,0,18,Bokaro Steel City,BBM/MCA/MBA/Management & Others,Data Science/Data Analysis/Business Intelligence,Channel 1
64,Donna Allen,0,44,Ahmedabad,BCA,Other,Channel 3
65,Daniel Solis,0,42,Pune,B.Com/BBM/BBA/MBA/Management & others,Other,Channel 4
66,Mr. Shawn Conner Jr.,0,32,Durgapur,Engineering,Admin/Data Entry/Secretary/Front Office,Channel 2
67,Theresa Newman,0,31,Ghaziabad,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 2
68,Shelley Jones,0,40,Mumbai,BCA,IT/Software/Programming/Testing/Devops/Product Management,Channel 5
69,Adam Brown,0,24,Vasai-Virar City,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 1
70,Samuel Bell,0,32,Gurgaon,B.Com,IT/Software/Programming/Testing/Devops/Product Management,Channel 2
71,Sandra Allen,0,37,Bhavnagar,Engineering,Other,Channel 2
72,Gary Brown,0,45,Chennai,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 2
73,Robert Madden,0,24,Hubli–Dharwad,Engineering,Data Science/Data Analysis/Business Intelligence,Channel 1
74,Michael Martinez,0,43,Gwalior,Engineering,Other,Channel 5
75,Sandra Reeves,0,37,Gurgaon,Engineering,Data Science/Data Analysis/Business Intelligence,Channel 2
76,Kelly Smith,0,30,Malappuram,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 2
77,Vincent Alexander,0,24,Aurangabad,B.Com,IT/Software/Programming/Testing/Devops/Product Management,Channel 1
78,Joshua Hughes,0,42,Mumbai,BBM/MCA/MBA/Management & Others,Sales/Business Development/Legal,Channel 3
79,Diane Rogers,0,26,Vijayawada,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 2
80,Brittany Shaffer,0,37,Faridabad,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 2
81,Hunter Wheeler,0,25,Amravati,B.SC,IT/Software/Programming/Testing/Devops/Product Management,Channel 1
82,Nathan Morgan,0,23,Agra,Engineering,Teaching/Educators,Channel 1
83,Jacqueline Clark,0,24,Bareilly,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 1
84,Michael Taylor,0,37,Aurangabad,Engineering,Core Engineering/R&D,Channel 2
85,Melissa Gardner,0,25,Shimla,Engineering,Other,Channel 1
86,Caitlin Houston,0,32,Jabalpur,BCA,Core Engineering/R&D,Channel 2
87,Mrs. Ashley Lucero,0,26,Rourkela,BBM/MCA/MBA/Management & Others,Other,Channel 2
88,Katie Wilson,0,34,Warangal,B.SC,IT/Software/Programming/Testing/Devops/Product Management,Channel 2
89,Cassandra Merritt,0,18,Kurnool,B.Com/BBM/BBA/MBA/Management & others,Admin/Data Entry/Secretary/Front Office,Channel 1
90,John Daugherty,0,27,Agra,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 1
91,Kimberly Pacheco,0,45,Hyderabad,B.SC,BPO/KPO/Customer Service/ITES,Channel 2
92,Kristin Barnes,0,33,Gulbarga,Engineering,Admin/Data Entry/Secretary/Front Office,Channel 2
93,Lori Jacobs,0,21,Dhanbad,B.SC,Digital Marketing/UI UX/Designers/PR/Content Creation,Channel 1
94,Rebecca Moreno,0,24,Noida,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 1
95,James Price,0,22,Surat,B.Com,IT/Software/Programming/Testing/Devops/Product Management,Channel 1
96,Mary Porter,0,17,Gurgaon,Engineering,BPO/KPO/Customer Service/ITES,Channel 1
97,Melvin Kim,0,19,Agra,Engineering,Digital Marketing/UI UX/Designers/PR/Content Creation,Channel 1
98,Jennifer Gutierrez PhD,0,33,Jodhpur,Engineering,BPO/KPO/Customer Service/ITES,Channel 2
99,Douglas Thomas,0,36,Srinagar,Engineering,Teaching/Educators,Channel 2
100,William Miller,0,45,Chennai,B.Com,IT/Software/Programming/Testing/Devops/Product Management,Channel 4
101,Christina Munoz,0,45,Kolkata,BBM/MCA/MBA/Management & Others,IT/Software/Programming/Testing/Devops/Product Management,Channel 2
102,Carla Suarez,0,34,Bareilly,BBM/MCA/MBA/Management & Others,IT/Software/Programming/Testing/Devops/Product Management,Channel 2
103,Jenna Soto,0,41,Hyderabad,BCA,Data Science/Data Analysis/Business Intelligence,Channel 3
104,Alexis Fry,0,45,Chennai,B.SC,Other,Channel 5
105,Chelsea Stevens,1,43,Meerut,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 5
106,Cassandra Johnson,0,17,Asansol,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 1
107,Lisa Lowe,0,36,Kolkata,Engineering,Core Engineering/R&D,Channel 2
108,Christina Freeman,0,43,Kolkata,B.SC,Admin/Data Entry/Secretary/Front Office,Channel 5
109,Hannah Campbell,0,36,Jalandhar,Engineering,Sales/Business Development/Legal,Channel 2
110,Dawn Wright,0,22,Jhansi,Engineering,Other,Channel 1
111,Tiffany Jones,0,45,Hyderabad,Engineering,Management/Leadership/Business Owner/Startup Founder/CXO,Channel 3
112,Aaron Hill,0,24,Bhiwandi,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 1
113,Michael Warren DDS,0,45,Mumbai,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 2
114,Luke Weber,0,31,Jaipur,Engineering,Core Engineering/R&D,Channel 2
115,Erin Smith,0,27,Ujjain,BBM/MCA/MBA/Management & Others,BFSI/Tax/Audit/Insurance/Accounts/CA/Company Secretary,Channel 1
116,Michele Chapman,0,18,Asansol,B.SC,IT/Software/Programming/Testing/Devops/Product Management,Channel 1
117,David Benitez,0,17,Tiruppur,Engineering,Other,Channel 1
118,James Carr,0,27,Shimla,BBM/MCA/MBA/Management & Others,Other,Channel 2
119,Hannah Cochran,0,28,Dhanbad,Engineering,Other,Channel 1
120,Mackenzie Flores,0,44,Ahmedabad,Computer Science,Pharma/Medical/Biotech/Healthcare,Channel 4
121,David Larsen,0,32,Bijapur,BBA,IT/Software/Programming/Testing/Devops/Product Management,Channel 2
122,Ryan Webb,0,34,Kozhikode,BBM/MCA/MBA/Management & Others,IT/Software/Programming/Testing/Devops/Product Management,Channel 2
123,Jennifer Thompson,0,23,Bikaner,B.SC,Sales/Business Development/Legal,Channel 1
124,Amy Watson,0,17,Noida,BBA,Digital Marketing/UI UX/Designers/PR/Content Creation,Channel 1
125,Jessica Wagner,0,21,Noida,Engineering,Other,Channel 1
126,Wesley Price,0,36,Erode,Engineering,Other,Channel 2
127,Maria White,0,30,Jamshedpur,Engineering,Core Engineering/R&D,Channel 2
128,Jerry Johnson,0,25,Bhiwandi,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 1
129,Michael Armstrong,0,31,Bijapur,BCA,Other,Channel 2
130,David Bishop,0,23,Kozhikode,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 1
131,Tara Martinez,0,43,Jhansi,B.Com/BBM/BBA/MBA/Management & others,Other,Channel 5
132,Stephanie Martinez,0,18,Nagpur,B.Com/BBM/BBA/MBA/Management & others,IT/Software/Programming/Testing/Devops/Product Management,Channel 1
133,Melissa Kirk,0,21,Kannur,Engineering,Sales/Business Development/Legal,Channel 1
134,Dr. Andrew Jones,0,44,Delhi,B.SC,Other,Channel 2
135,Alexander Edwards,0,17,Bijapur,Engineering,Teaching/Educators,Channel 1
136,Robert Patterson,0,42,Hyderabad,B.Com/BBM/BBA/MBA/Management & others,Admin/Data Entry/Secretary/Front Office,Channel 3
137,Dr. Shane Holmes,1,20,Chennai,Engineering,Admin/Data Entry/Secretary/Front Office,Channel 1
138,Michele Mccann,0,27,Thrissur,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 1
139,Joseph Allen,0,32,Solapur,B.Com/BBM/BBA/MBA/Management & others,IT/Software/Programming/Testing/Devops/Product Management,Channel 2
140,Ethan Young,0,21,Coimbatore,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 1
141,Nicole Harris,0,20,Faridabad,B.Com,IT/Software/Programming/Testing/Devops/Product Management,Channel 1
142,Amanda Hughes,0,44,Delhi,B.SC,IT/Software/Programming/Testing/Devops/Product Management,Channel 2
143,Marilyn Brooks,0,24,Mangalore,BBM/MCA/MBA/Management & Others,IT/Software/Programming/Testing/Devops/Product Management,Channel 1
144,Sabrina Pope,0,43,Pune,Engineering,Management/Leadership/Business Owner/Startup Founder/CXO,Channel 5
145,Megan Hall,0,34,Bilaspur,Engineering,BPO/KPO/Customer Service/ITES,Channel 2
146,Kim Elliott,0,35,Warangal,Engineering,Other,Channel 2
147,Stephanie Miller,0,24,Gurgaon,B.SC,Pharma/Medical/Biotech/Healthcare,Channel 1
148,Sandra Sweeney,0,24,Dhanbad,Engineering,Sales/Business Development/Legal,Channel 2
149,Rachel Krause,0,42,Delhi,Engineering,Admin/Data Entry/Secretary/Front Office,Channel 3
150,Meredith Chapman,0,34,Warangal,BBM/MCA/MBA/Management & Others,IT/Software/Programming/Testing/Devops/Product Management,Channel 2
151,Annette Haas,0,45,Mumbai,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 3
152,Mr. Fred Daniels,0,30,Chandigarh,Engineering,Other,Channel 2
153,Tanya Murray,0,27,Kannur,Engineering,Ed-Tech,Channel 1
154,James Heath,0,24,Kollam,BBA,Other,Channel 1
155,Megan Morgan,0,35,Ghaziabad,BBM/MCA/MBA/Management & Others,Admin/Data Entry/Secretary/Front Office,Channel 2
156,Kyle Bryant,0,34,Gwalior,BBM/MCA/MBA/Management & Others,Management/Leadership/Business Owner/Startup Founder/CXO,Channel 2
157,Michael George,0,26,Varanasi,B.Com,Data Science/Data Analysis/Business Intelligence,Channel 1
158,Mark Barton,0,33,Amravati,B.SC,IT/Software/Programming/Testing/Devops/Product Management,Channel 2
159,Taylor Gill,0,27,Moradabad,Engineering,Teaching/Educators,Channel 1
160,Kimberly Middleton,0,41,Hyderabad,B.Com/BBM/BBA/MBA/Management & others,Digital Marketing/UI UX/Designers/PR/Content Creation,Channel 5
161,Jacob Schwartz,0,28,Bilaspur,Engineering,Sales/Business Development/Legal,Channel 1
162,Brad Pierce,0,26,Nanded,Engineering,Pharma/Medical/Biotech/Healthcare,Channel 1
163,Mr. Duane Hawkins,0,25,Pondicherry,Engineering,Other,Channel 1
164,Ann Porter,0,19,Rajkot,Engineering,Other,Channel 1
165,Hannah Jimenez,0,19,Ujjain,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 1
166,Patrick Stephenson,0,33,Vadodara,B.SC,BPO/KPO/Customer Service/ITES,Channel 2
167,Stephen Wood,0,25,Mathura,Engineering,Admin/Data Entry/Secretary/Front Office,Channel 1
168,Louis Snyder,0,24,Thiruvananthapuram,Engineering,Core Engineering/R&D,Channel 1
169,Gregory Floyd,0,17,Vasai-Virar City,BBA,Teaching/Educators,Channel 1
170,Brian Larson,0,19,Goa,B.Com,Other,Channel 1
171,Linda Burnett,0,40,Bangalore,Engineering,Data Science/Data Analysis/Business Intelligence,Channel 5
172,Heather Small,0,34,Ranchi,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 2
173,Brandi Bryant,0,34,Kannur,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 2
174,Amy Miller,0,41,Bangalore,Engineering,Other,Channel 5
175,Jason Campbell,0,22,Jabalpur,BBM/MCA/MBA/Management & Others,IT/Software/Programming/Testing/Devops/Product Management,Channel 1
176,Bethany Mullins,0,40,Agra,B.SC,IT/Software/Programming/Testing/Devops/Product Management,Channel 5
177,Lauren Wade,0,37,Moradabad,B.Com/BBM/BBA/MBA/Management & others,IT/Software/Programming/Testing/Devops/Product Management,Channel 2
178,Emily Hamilton,0,43,Bangalore,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 5
179,Barbara Franco,0,42,Mumbai,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 5
180,Michael White,0,30,Indore,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 2
181,Alejandro Edwards,0,21,Chandigarh,Engineering,Management/Leadership/Business Owner/Startup Founder/CXO,Channel 1
182,Isabella Shelton,0,22,Tiruppur,Engineering,Social Media Influencers,Channel 1
183,George Garcia,0,40,Delhi,BBM/MCA/MBA/Management & Others,IT/Software/Programming/Testing/Devops/Product Management,Channel 3
184,Tamara Stanley,0,24,Madurai,Engineering,Other,Channel 1
185,Melinda Castaneda,0,26,Ajmer,Engineering,Data Science/Data Analysis/Business Intelligence,Channel 1
186,Ryan Olsen,0,26,Gwalior,Engineering,BPO/KPO/Customer Service/ITES,Channel 1
187,Dustin Rice,0,42,Pune,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 3
188,Robert Odonnell,0,34,Bhilai,B.Com,Admin/Data Entry/Secretary/Front Office,Channel 2
189,Stephen Graham,0,28,Tiruchirappalli,Engineering,Teaching/Educators,Channel 1
190,Daniel Carter,0,31,Guntur,B.SC,IT/Software/Programming/Testing/Devops/Product Management,Channel 2
191,Mr. Dennis Flores,0,22,Jammu,BBM/MCA/MBA/Management & Others,Other,Channel 1
192,Jennifer Hill,0,24,Jaipur,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 1
193,Samuel Aguirre,0,37,Aurangabad,Engineering,Digital Marketing/UI UX/Designers/PR/Content Creation,Channel 2
194,Jessica Molina,0,34,Raipur,BCA,Other,Channel 2
195,Jennifer Welch,0,31,Vasai-Virar City,Engineering,Other,Channel 2
196,Beth Davenport,0,28,Bhopal,B.SC,IT/Software/Programming/Testing/Devops/Product Management,Channel 2
197,Maria Hayes,0,17,Jalandhar,BBM/MCA/MBA/Management & Others,BPO/KPO/Customer Service/ITES,Channel 1
198,Robert Elliott,0,44,Ahmedabad,BBA,Pharma/Medical/Biotech/Healthcare,Channel 3
199,Amanda Hall,0,41,Kolkata,Engineering,Other,Channel 5
200,Meghan Greene,0,42,Ahmedabad,Engineering,Sales/Business Development/Legal,Channel 2
201,Brenda Gomez,0,43,Hyderabad,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 4
202,Julie Valentine,0,18,Bikaner,BCA,Other,Channel 1
203,Bethany Parker,0,45,Pune,Engineering,Core Engineering/R&D,Channel 5
204,Steven Hale,0,27,Kakinada,B.SC,IT/Software/Programming/Testing/Devops/Product Management,Channel 1
205,Benjamin Sanchez,0,22,Ranchi,B.SC,Sales/Business Development/Legal,Channel 1
206,Thomas Soto,0,31,Agra,B.Com,Ed-Tech,Channel 2
207,Donna Fitzgerald,0,17,Bhavnagar,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 1
208,Richard Jones,0,19,Gurgaon,B.Com,IT/Software/Programming/Testing/Devops/Product Management,Channel 1
209,Dominique Thomas,0,23,Nagpur,B.Com/BBM/BBA/MBA/Management & others,Other,Channel 1
210,Ruth Anderson,0,45,Delhi,BCA,IT/Software/Programming/Testing/Devops/Product Management,Channel 3
211,Jacob King,0,25,Noida,B.Com,Sales/Business Development/Legal,Channel 1
212,Jeffrey Thomas,0,32,Patna,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 2
213,Christopher Giles,1,31,Erode,BBM/MCA/MBA/Management & Others,Other,Channel 5
214,Lauren Brewer,0,44,Bangalore,Engineering,Other,Channel 3
215,Scott Harris,0,19,Jalandhar,B.Com/BBM/BBA/MBA/Management & others,IT/Software/Programming/Testing/Devops/Product Management,Channel 1
216,Dylan James,0,33,Rajahmundry,Engineering,Other,Channel 2
217,Jason Ward,0,17,Bhubaneswar,Engineering,Sales/Business Development/Legal,Channel 1
218,Andrea Lewis,1,40,Meerut,BBM/MCA/MBA/Management & Others,Data Science/Data Analysis/Business Intelligence,Channel 5
219,Christopher Jones,0,26,Mangalore,BBM/MCA/MBA/Management & Others,IT/Software/Programming/Testing/Devops/Product Management,Channel 1
220,Suzanne Moore,0,41,Kolkata,Engineering,Admin/Data Entry/Secretary/Front Office,Channel 5
221,Jamie Ellis,0,33,Jodhpur,Engineering,Other,Channel 2
222,Sarah Wilson,1,17,Hyderabad,BCA,Other,Channel 2
223,Matthew Harris,0,25,Hamirpur,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 1
224,Amy Bird,0,27,Kolhapur,Engineering,Management/Leadership/Business Owner/Startup Founder/CXO,Channel 2
225,Joshua Bush,0,44,Bangalore,Engineering,Sales/Business Development/Legal,Channel 3
226,Matthew Williams PhD,1,37,Bhiwandi,B.SC,BPO/KPO/Customer Service/ITES,Channel 5
227,Brandi Owen,1,26,Mumbai,BBM/MCA/MBA/Management & Others,Digital Marketing/UI UX/Designers/PR/Content Creation,Channel 4
228,Dylan Bailey,0,42,Ahmedabad,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 3
229,Dustin Rivas,0,43,Bangalore,B.Com,IT/Software/Programming/Testing/Devops/Product Management,Channel 3
230,Jordan Thomas,1,28,Pune,Engineering,Other,Channel 4
231,Karl Boyd,0,43,Delhi,Engineering,Sales/Business Development/Legal,Channel 3
232,Kevin Calhoun,0,27,Gurgaon,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 1
233,Melanie Brown,0,20,Rourkela,Engineering,Other,Channel 1
234,Brenda Gilbert,0,33,Kurnool,B.Com,IT/Software/Programming/Testing/Devops/Product Management,Channel 2
235,Charles Stevens,0,26,Shimla,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 1
236,Bryce Ayala,0,35,Mysore,BBM/MCA/MBA/Management & Others,Data Science/Data Analysis/Business Intelligence,Channel 2
237,Daniel Walker,0,40,Jammu,BBM/MCA/MBA/Management & Others,BPO/KPO/Customer Service/ITES,Channel 5
238,Daniel Ortega,0,41,Delhi,B.SC,Other,Channel 5
239,Charlotte Phillips,0,21,Varanasi,B.Com,Other,Channel 1
240,David Cabrera,0,44,Bangalore,B.Com,Data Science/Data Analysis/Business Intelligence,Channel 3
241,Laura Brown,0,32,Jammu,BCA,IT/Software/Programming/Testing/Devops/Product Management,Channel 2
242,Morgan Jackson,0,40,Hyderabad,B.Com,IT/Software/Programming/Testing/Devops/Product Management,Channel 5
243,Terry Phillips,0,42,Hyderabad,B.SC,Management/Leadership/Business Owner/Startup Founder/CXO,Channel 2
244,Brandon Jones,0,18,Thiruvananthapuram,Engineering,Other,Channel 1
245,Denise Morrow,0,17,Cuttack,B.Com,Teaching/Educators,Channel 1
246,Emily Miller,0,43,Delhi,BBM/MCA/MBA/Management & Others,IT/Software/Programming/Testing/Devops/Product Management,Channel 5
247,Troy Cruz,1,25,Kolkata,Engineering,Core Engineering/R&D,Channel 3
248,Jennifer White,0,40,Bangalore,BBM/MCA/MBA/Management & Others,Other,Channel 3
249,Charles Joseph,0,36,Nagpur,BBA,IT/Software/Programming/Testing/Devops/Product Management,Channel 2
250,Steven Ruiz,0,44,Siliguri,B.SC,Data Science/Data Analysis/Business Intelligence,Channel 5
251,Omar Ball,0,41,Chennai,B.SC,Other,Channel 3
252,Lauren Mitchell,0,21,Kurnool,Engineering,Teaching/Educators,Channel 1
253,Stephanie Adams,0,36,Amritsar,B.Com,BFSI/Tax/Audit/Insurance/Accounts/CA/Company Secretary,Channel 2
254,Joshua Burnett,0,35,Nagpur,Engineering,Hospitality/Travel,Channel 2
255,Tara Gutierrez,0,35,Jammu,BBM/MCA/MBA/Management & Others,Admin/Data Entry/Secretary/Front Office,Channel 2
256,Deborah Reyes,0,20,Dehradun,BCA,Sales/Business Development/Legal,Channel 1
257,Olivia Martin,0,42,Mumbai,Engineering,Core Engineering/R&D,Channel 5
258,Beth Thornton,0,31,Belgaum,B.Com/BBM/BBA/MBA/Management & others,Other,Channel 2
259,Laura Wilson,0,34,Sangli,Engineering,Sales/Business Development/Legal,Channel 2
260,Elizabeth Burke,0,44,Ahmedabad,BBM/MCA/MBA/Management & Others,Pharma/Medical/Biotech/Healthcare,Channel 5
261,Joseph Sims,0,24,Bilaspur,Engineering,Digital Marketing/UI UX/Designers/PR/Content Creation,Channel 1
262,David Hunter,0,21,Amritsar,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 1
263,Ashley Clark,0,33,Vellore,BBM/MCA/MBA/Management & Others,BPO/KPO/Customer Service/ITES,Channel 2
264,Denise Barton,0,19,Jhansi,Engineering,BPO/KPO/Customer Service/ITES,Channel 1
265,James Rodriguez,0,43,Delhi,Engineering,Sales/Business Development/Legal,Channel 4
266,Margaret Simmons,1,43,Mathura,BBM/MCA/MBA/Management & Others,IT/Software/Programming/Testing/Devops/Product Management,Channel 5
267,James Foster,0,35,Guwahati,B.SC,IT/Software/Programming/Testing/Devops/Product Management,Channel 2
268,Shane Snyder,0,26,Kurnool,Engineering,Other,Channel 1
269,Bradley Ayala,0,40,Mumbai,Engineering,BPO/KPO/Customer Service/ITES,Channel 4
270,Kimberly Mccarthy,0,41,Ahmedabad,BBM/MCA/MBA/Management & Others,Data Science/Data Analysis/Business Intelligence,Channel 3
271,David Williams,1,35,Amritsar,Engineering,Data Science/Data Analysis/Business Intelligence,Channel 5
272,Angela Luna,0,23,Thiruvananthapuram,BBM/MCA/MBA/Management & Others,IT/Software/Programming/Testing/Devops/Product Management,Channel 1
273,Victor Sandoval,0,34,Ahmedabad,B.Com/BBM/BBA/MBA/Management & others,Core Engineering/R&D,Channel 2
